%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
July,5:00,101240,70,270,58.314,30000,7,450,12.15,16.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,10:00,99840,100,40,9.719,7000,7,1750,-1.25,1.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,22:00,96350,80,190,116.628,20000,5,450,4.95,7.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,8:00,100230,-70,190,155.504,20000,7,250,11.85,12.65,lower,rain,rain,'cloud covering the sky','stratus fractus',NO
January,2:00,100650,-70,40,77.752,5000,8,450,-6.85,-3.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,17:00,98970,140,290,136.066,25000,4,800,2.35,9.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,23:00,101020,120,20,116.628,15000,0,?,5.35,9.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,14:00,101210,40,230,9.719,20000,6,1250,8.15,12.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,11:00,100670,40,330,19.438,20000,5,1250,13.35,26.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,14:00,99510,360,280,29.157,25000,6,1250,-2.65,7.95,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,17:00,100240,-50,270,58.314,25000,5,1750,13.85,26.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,0:00,100740,120,250,9.719,25000,0,?,8.65,11.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,11:00,98800,50,140,77.752,25000,7,450,9.25,13.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,1:00,99900,-80,70,58.314,20000,2,3500,3.95,8.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,11:00,100500,-140,20,136.066,25000,7,1250,13.75,24.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,6:00,100240,10,20,19.438,20000,6,3500,9.15,11.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,0:00,99050,-100,240,136.066,10000,7,450,3.35,6.35,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,5:00,101740,0,190,58.314,4000,7,450,-0.65,0.35,'same or lower',mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,17:00,100490,-50,210,77.752,20000,5,1250,6.75,17.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,5:00,100910,-110,250,116.628,12000,7,450,6.95,9.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,2:00,101210,-120,200,116.628,3000,7,30,10.65,10.95,lower,'fog or ice fog preceding hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
August,4:00,100310,-160,40,77.752,20000,3,3500,11.05,14.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,19:00,100020,70,280,58.314,7000,7,800,14.45,17.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulonimbus capillatus',NO
August,12:00,100170,-80,210,136.066,18000,7,800,13.95,23.25,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,9:00,99990,90,210,19.438,30000,5,450,12.95,18.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,18:00,100180,10,280,58.314,25000,7,1750,1.25,14.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,23:00,101380,-20,20,58.314,6000,8,150,3.15,4.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,9:00,101170,150,330,9.719,30000,5,800,6.05,13.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
January,10:00,98370,-30,170,9.719,8000,8,450,5.45,6.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,2:00,99750,-100,160,38.876,20000,7,1250,12.65,16.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,14:00,99150,-240,210,155.504,23000,6,1250,9.65,20.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,20:00,98630,-20,210,136.066,8000,8,450,9.05,10.15,'same or lower',rain,rain,rain,'cumulus mediocris',NO
September,11:00,100440,-110,240,136.066,25000,7,800,9.95,15.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,23:00,100640,90,120,77.752,25000,1,8000,12.45,21.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,11:00,100230,-50,220,213.818,20000,7,800,8.15,12.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,16:00,99470,20,210,136.066,20000,7,450,7.15,9.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,17:00,99220,210,220,213.818,35000,7,800,6.15,11.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,6:00,101090,-240,180,116.628,6000,7,80,0.75,1.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,0:00,99820,170,250,58.314,20000,1,450,9.05,10.15,higher,'no meteors during the past hour',rain,drizzle,'cumulus humilis',NO
August,10:00,99820,-100,250,9.719,30000,4,800,11.55,19.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,23:00,100690,-40,0,0.0,20000,6,3500,10.45,15.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,22:00,100570,240,250,77.752,15000,0,?,-0.25,2.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,13:00,100700,-10,300,77.752,2000,8,80,7.65,7.75,lower,drizzle,drizzle,'cloud covering the sky','stratus fractus',NO
February,12:00,100860,50,350,9.719,25000,8,450,2.35,5.35,'same or higher','no meteors during the past hour',drizzle,'cloud covering the sky','stratocumulus not cumulogenitus',NO
April,14:00,100630,-100,70,38.876,20000,4,1750,11.05,25.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
October,22:00,99960,10,140,77.752,20000,2,8000,11.85,17.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,18:00,100560,-70,80,77.752,20000,0,?,14.15,19.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,22:00,100360,-20,230,77.752,20000,7,450,-0.35,5.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,14:00,100190,10,40,116.628,7000,8,150,12.95,13.85,'same or higher',drizzle,drizzle,drizzle,'cumulus and stratocumulus not cumulogenitus',NO
February,16:00,102310,40,230,77.752,8000,8,1250,3.35,6.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,19:00,101020,20,70,77.752,15000,5,8000,0.95,6.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,20:00,99630,260,250,9.719,30000,2,8000,14.65,23.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,23:00,100120,-60,50,116.628,6000,8,450,10.85,12.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,9:00,100660,30,260,38.876,15000,0,?,16.05,24.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,22:00,101360,-80,260,9.719,15000,7,450,6.15,9.65,lower,drizzle,drizzle,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,10:00,99910,20,230,58.314,30000,3,3500,13.85,23.15,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,11:00,98520,-160,150,77.752,15000,8,800,13.25,16.15,lower,rain,rain,rain,'cumulus and stratocumulus not cumulogenitus',NO
October,23:00,100980,40,70,9.719,20000,0,?,0.25,6.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,23:00,101160,-70,170,58.314,30000,7,3500,6.25,9.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,9:00,101070,130,360,58.314,8000,1,450,8.05,11.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
June,12:00,99680,-170,80,116.628,30000,5,1250,5.75,17.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,1:00,99630,-60,110,9.719,12000,6,8000,6.55,8.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,18:00,100620,180,260,58.314,25000,7,800,6.25,8.85,higher,'no meteors during the past hour',showers,rain,'stratocumulus not cumulogenitus',NO
September,17:00,100660,70,60,58.314,9000,7,800,14.75,19.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,5:00,100700,70,160,58.314,3000,8,80,8.05,8.45,higher,drizzle,rain,drizzle,'stratus fractus',NO
February,5:00,99550,180,250,174.942,10000,5,450,3.95,7.95,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,9:00,99300,0,330,116.628,12000,8,150,17.25,17.75,steady,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
August,5:00,100040,130,240,58.314,30000,7,450,14.25,17.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,14:00,98920,-120,60,77.752,25000,7,1250,-1.25,8.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
November,16:00,98900,140,290,136.066,30000,6,800,5.15,11.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulonimbus capillatus',NO
December,8:00,102090,130,240,77.752,20000,7,800,4.45,7.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,21:00,100380,40,40,9.719,10000,0,?,-1.35,-0.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,3:00,100640,-60,60,38.876,15000,3,8000,12.45,15.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,2:00,101480,-90,10,58.314,25000,0,?,11.65,15.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,9:00,99860,70,30,19.438,8000,8,250,15.65,16.95,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,23:00,100750,-70,30,116.628,12000,4,3500,13.85,16.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,4:00,101010,-20,170,58.314,12000,4,3500,6.75,11.85,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,10:00,100130,60,240,19.438,6000,8,150,13.95,15.25,higher,rain,rain,rain,'stratus fractus',NO
June,2:00,100760,50,320,58.314,20000,7,450,14.05,16.75,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,20:00,100260,140,240,38.876,20000,5,1750,11.15,14.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,9:00,100020,10,190,77.752,8000,8,250,13.75,15.55,higher,'no meteors during the past hour',rain,drizzle,'stratus fractus',NO
May,7:00,99670,-60,110,58.314,25000,7,1250,9.85,17.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,15:00,100430,-10,310,9.719,30000,4,1250,1.15,10.85,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
January,22:00,100080,110,340,38.876,6000,0,?,-8.05,-5.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,2:00,100750,-130,120,58.314,25000,7,800,0.45,3.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,15:00,99080,20,270,38.876,6000,8,450,17.95,21.15,higher,rain,rain,'cloud covering the sky','stratus nebulosus',NO
June,13:00,100580,-10,280,116.628,25000,6,1250,5.75,18.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,3:00,101120,-180,290,116.628,2500,7,150,6.15,7.35,lower,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
July,22:00,99830,50,230,136.066,30000,5,1750,12.55,17.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
December,16:00,100320,100,190,58.314,3500,7,1250,8.25,9.05,higher,rain,rain,rain,'stratus fractus',NO
October,3:00,100830,-80,100,58.314,7000,0,?,8.15,9.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,7:00,101310,80,280,19.438,7000,7,1750,0.25,2.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,14:00,100870,-30,190,19.438,10000,6,3500,10.65,20.85,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,22:00,98610,-100,140,77.752,25000,6,450,6.15,7.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
June,1:00,100430,0,240,9.719,30000,5,3500,12.05,15.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,18:00,100690,100,340,58.314,30000,1,2250,6.55,13.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,15:00,100070,200,40,19.438,15000,4,800,3.15,6.85,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,23:00,101490,50,360,38.876,8000,6,150,2.15,2.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,10:00,97470,-570,180,252.694,10000,8,250,7.45,9.05,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,21:00,101140,160,30,116.628,18000,5,8000,3.95,11.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,16:00,100820,-50,70,77.752,15000,7,1750,0.75,13.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,0:00,99470,-50,240,77.752,25000,1,1250,4.15,6.15,lower,'no meteors during the past hour',showers,snow,'stratocumulus not cumulogenitus',NO
January,4:00,100190,300,250,116.628,15000,2,800,6.05,8.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,5:00,100740,-20,10,77.752,11000,2,8000,12.85,14.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,17:00,100080,-40,190,116.628,15000,1,800,5.25,9.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,16:00,101730,-10,360,77.752,25000,5,1250,3.95,13.95,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
August,21:00,100540,30,170,38.876,25000,5,3500,8.85,20.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,0:00,99860,130,350,9.719,10000,2,8000,3.05,3.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,15:00,100660,130,270,116.628,25000,8,800,10.45,15.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,10:00,100510,340,300,116.628,20000,7,450,12.35,15.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,6:00,100340,120,330,77.752,10000,5,250,-2.05,-0.65,higher,'showers of snow',showers,snow,'cumulus and stratocumulus not cumulogenitus',NO
July,15:00,100370,-130,80,58.314,25000,1,8000,7.85,27.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,1:00,100110,-290,150,9.719,20000,7,1250,19.25,22.85,lower,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
April,18:00,100290,-40,80,116.628,4500,7,800,2.45,7.15,lower,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,11:00,100470,-90,90,9.719,30000,3,8000,12.25,27.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,19:00,101050,30,340,38.876,25000,2,1250,13.65,21.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,16:00,99830,-180,160,9.719,22000,4,3500,14.55,33.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,9:00,101920,10,20,58.314,3000,8,800,1.05,1.75,higher,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,23:00,99970,-220,180,116.628,8000,7,150,0.25,1.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,1:00,100690,-90,0,0.0,20000,7,1750,6.65,16.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,20:00,99580,140,250,116.628,7000,7,800,11.15,13.95,higher,'showery precipitation',showers,rain,'cumulonimbus capillatus',NO
July,15:00,99850,-30,360,38.876,15000,5,1250,14.25,26.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
May,13:00,99660,-50,190,136.066,18000,8,450,10.25,13.45,lower,drizzle,rain,drizzle,'cumulus and stratocumulus not cumulogenitus',NO
November,4:00,98470,-20,230,116.628,20000,7,3500,3.45,8.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,2:00,99730,-160,170,9.719,20000,7,3500,1.35,4.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,12:00,100820,-50,350,58.314,30000,5,1250,10.45,22.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
June,12:00,101130,-50,60,58.314,25000,4,1250,7.95,17.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
June,14:00,100740,20,20,9.719,25000,6,1250,7.25,18.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,22:00,100200,110,280,38.876,20000,6,3500,11.75,13.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,1:00,99440,-10,330,19.438,800,1,30,10.85,11.45,lower,fog,'fog or ice fog or thick haze','cloud covering the sky','stratus nebulosus',NO
March,12:00,99160,60,240,136.066,30000,7,800,9.65,14.25,higher,'no meteors during the past hour',rain,drizzle,'cumulus and stratocumulus not cumulogenitus',NO
November,2:00,101380,-150,220,9.719,12000,8,250,5.75,6.95,lower,drizzle,drizzle,'cloud covering the sky','stratus nebulosus',NO
March,21:00,100860,240,320,38.876,15000,7,800,5.65,7.35,higher,rain,showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
February,14:00,101390,-70,250,155.504,20000,8,800,5.45,10.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,22:00,99090,140,240,155.504,20000,8,800,8.45,11.55,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,18:00,100690,-10,340,9.719,40000,1,1750,6.25,19.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,1:00,100070,-40,220,38.876,20000,7,1750,5.95,9.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,22:00,99290,-200,180,136.066,10000,7,1250,2.85,5.55,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,2:00,100690,-10,360,58.314,4000,0,?,-3.35,-1.45,lower,mist,'cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,10:00,100840,20,240,77.752,30000,7,1250,10.55,17.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
